Frequency,Magnitude
908.43,48410.793148
909.78,48379.179219
911.12,48324.490062
912.47,48278.286212
913.82,48218.892454
915.16,48308.312237
916.51,48211.669256
917.85,48177.712290
919.20,48209.332713
920.54,48230.282568
921.89,48202.705452
923.24,48176.774466
924.58,48208.429174
925.93,48190.508647
927.27,48171.692328
928.62,48164.174143
929.97,48145.113286
931.31,48107.846356
932.66,48095.488663
934.00,47980.425979
935.35,47993.963677
936.69,47950.995447
938.04,47807.101619
939.39,47718.409554
940.73,47634.500493
942.08,47507.612381
943.42,47351.166756
944.77,47298.351812
946.12,47121.523982
947.46,47006.433373
948.81,46809.114166
950.15,46909.895544
951.50,46701.728620
952.84,46498.782336
954.19,46445.135395
955.54,46292.646191
956.88,46147.442986
958.23,46060.122500
959.57,45900.142242
960.92,45794.433485
962.27,45662.001204
963.61,45591.793052
964.96,45534.842070
966.30,45451.728954
967.65,45350.877336
968.99,45296.657409
970.34,45263.714055
971.69,45170.973815
973.03,45107.597194
974.38,45065.674061
975.72,45031.951822
977.07,45023.182624
978.41,44919.584664
979.76,44873.312524
981.11,44826.651391
982.45,44780.887560
983.80,44753.916330
985.14,44720.615366
986.49,44681.286055
987.84,44682.399521
989.18,44589.129050
990.53,44499.895981
991.87,44392.301388
993.22,44393.563559
994.56,44332.388114
995.91,44200.855053
997.26,44176.450344
998.60,44080.897139
999.95,43991.630967
1001.29,43955.067420
1002.64,43866.635760
1003.99,43760.814181
1005.33,43734.529977
1006.68,43682.385629
1008.02,43662.061410
1009.37,43478.278271
1010.71,43388.404855
1012.06,43291.039283
1013.41,43366.591149
1014.75,43239.073560
1016.10,43188.826341
1017.44,43163.630717
1018.79,43102.264297
1020.14,43027.599525
1021.48,43068.247628
1022.83,42962.720120
1024.17,42959.944976
1025.52,42906.475897
1026.86,42806.681136
1028.21,42830.295763
1029.56,42820.337171
1030.90,42818.897214
1032.25,42772.620106
1033.59,42723.623999
1034.94,42605.744475
1036.29,42618.863356
1037.63,42571.803240
1038.98,42524.359354
1040.32,42477.741293
1041.67,42449.078674
1043.01,42332.556375
1044.36,42235.173445
1045.71,42167.690981
1047.05,41979.096361
1048.40,42048.952986
1049.74,41910.489013
1051.09,41927.694663
1052.44,41711.891073
1053.78,41631.406212
1055.13,41639.073318
1056.47,41447.521745
1057.82,41335.231107
1059.16,41238.936923
1060.51,41220.195311
1061.86,41104.213024
1063.20,41041.753101
1064.55,40972.093988
1065.89,40885.447187
1067.24,40799.576782
1068.59,40853.921575
1069.93,40702.435428
1071.28,40662.097107
1072.62,40657.726961
1073.97,40633.226254
1075.31,40569.342450
1076.66,40603.176247
1078.01,40546.490526
1079.35,40546.796047
1080.70,40582.239506
1082.04,40517.355260
1083.39,40575.390182
1084.74,40551.513034
1086.08,40553.893840
1087.43,40575.696234
1088.77,40650.708529
1090.12,40462.713762
1091.46,40512.999206
1092.81,40525.380898
1094.16,40538.901933
1095.50,40496.183023
1096.85,40461.517776
1098.19,40437.793147
1099.54,40389.372926
1100.89,40313.891969
1102.23,40279.908553
1103.58,40214.337779
1104.92,40163.448573
1106.27,40024.157941
1107.61,39988.151067
1108.96,39900.482073
1110.31,39759.885784
1111.65,39727.954404
1113.00,39589.008016
1114.34,39511.324587
1115.69,39369.068818
1117.03,39432.678959
1118.38,39316.996739
1119.73,39173.360418
1121.07,39076.922692
1122.42,39053.997771
1123.76,38947.394741
1125.11,38843.973492
1126.46,38774.971391
1127.80,38713.117097
1129.15,38688.227216
1130.49,38620.912916
1131.84,38592.935373
1133.18,38519.869401
1134.53,38524.628022
1135.88,38499.366446
1137.22,38470.096921
1138.57,38479.453974
1139.91,38535.144197
1141.26,38444.256157
1142.61,38456.267415
1143.95,38473.931052
1145.30,38447.769170
1146.64,38432.854845
1147.99,38434.570750
1149.33,38570.339749
1150.68,38500.880758
1152.03,38457.703876
1153.37,38513.650215
1154.72,38434.229608
1156.06,38402.098860
1157.41,38430.626333
1158.76,38388.309046
1160.10,38365.368832
1161.45,38296.953623
1162.79,38269.652904
1164.14,38211.498306
1165.48,38214.065226
1166.83,38110.776315
1168.18,38104.376280
1169.52,38052.329305
1170.87,37985.356519
1172.21,37862.225371
1173.56,37777.781811
1174.91,37724.284866
1176.25,37678.520614
1177.60,37573.752946
1178.94,37588.847758
1180.29,37478.331672
1181.63,37439.528177
1182.98,37369.497218
1184.33,37274.856979
1185.67,37262.788930
1187.02,37218.309237
1188.36,37120.868617
1189.71,37134.798991
1191.06,37145.861202
1192.40,37044.649633
1193.75,37003.156848
1195.09,36956.473349
1196.44,36931.136681
1197.78,36910.425459
1199.13,36899.024799
1200.48,36896.170378
1201.82,36874.377535
1203.17,36815.548394
1204.51,36850.800208
1205.86,36776.835692
1207.21,36766.225798
1208.55,36779.990538
1209.90,36704.930783
1211.24,36701.135557
1212.59,36679.340560
1213.93,36611.062171
1215.28,36641.766038
1216.63,36570.627970
1217.97,36494.881952
1219.32,36517.804242
1220.66,36508.346366
1222.01,36490.756546
1223.36,36364.711323
1224.70,36369.810681
